Alimiento;Medida casera;Cantidad (g-ml);HC (g);Prot. (g);Grasa (g);Na (mg);K (mg);P (mg);Ca (mg);Fe (mg);Colest (mg);Purinas (mg);Fibra (g);Agua (g);Calorías
LÁCTEOS;;;;;;;;;;;;;;;
Leche condensada;1 cucharada;10 g;5.6;0.8;0.8;9.0;-;23.0;28.4;-;2.9;0.0;-;2.7;32.8
Leche descremada fluida Trébol;1 taza;200 ml;10.8;7.4;1.0;104.0;310.0;176.0;230.0;-;6.0;0.0;-;178.0;81.8
Leche descremada Mólico en polvo;1 cucharada;5 g;2.6;1.8;0.1;-;-;51.5;64.5;0.1;0.1;0.0;-;0.2;18.5
Leche entera fluida;1 taza;200 ml;9.6;6.6;6.0;64.0;286.0;160.0;220.0;-;24.6;0.0;-;178.0;118.8
Leche entera Nido en polvo;1 cucharada;5 g;1.9;1.3;1.3;46.5;-;37.5;46.5;37.5;4.8;0.0;-;0.2;24.5
Queso Paraguay fresco;1 cucharada;20 g;0.0;3.4;3.4;16.8;105.0;-;40.0;0.1;19.4;0.0;-;13.2;44.2
Queso Paraguay fresco;1 porc chica;50 g;0.0;8.5;8.5;42.5;262.5;-;100.0;0.2;48.5;0.0;-;33.0;110.5
Queso ricotta descremado;1 cucharada;20 g;1.0;2.3;1.6;2.5;25.0;-;54.4;0.1;18.0;0.0;-;14.0;27.6
Queso ricotta entero;1 cucharada;20 g;0.6;2.3;2.6;16.8;21.0;-;41.4;1.0;34.0;0.0;-;14.0;35.0
Queso sándwich;1 feta;30 g;0.6;4.9;5.1;21.0;-;101.1;210.0;0.2;18.0;0.0;-;17.7;67.8
Queso rallado;1 cucharada;10 g;0.1;3.2;2.5;117.0;-;69.0;117.0;-;9.1;0.0;-;3.0;35.7
Yogur dietético (Lactolanda);1 pote chico;140 g;7.9;4.6;0.7;85.4;-;137.2;140.0;-;6.4;0.0;-;107.8;56.3
Yogur entero (Trebolín);1 pote chico;140 g;20.6;5.9;3.6;98.0;-;123.0;145.0;-;17.1;0.0;-;107.8;138.3
Yogur entero (Parmalat bebible);1 pote chico;140 g;19.6;4.8;3.5;98.0;-;131.6;145.0;-;17.0;0.0;-;107.8;129.1
